,NAME,ADJUSTMENT,HOLES,RELATIVE_PAR,SG_PUTTING,SG_OTT,SG_APR,SG_ARG,WINS,TOP_10S,1ST,2ND,3RD,YEAR,SCORE_AVERAGE,DRIVING_DISTANCE,DRIVING_ACCURACY,DRIVING_USAGE,GREENS_IN_REGULATION,TOTAL_SG
41,Pat Perez,-18.123,1422.0,-0.28,11.008,0.099,0.272,0.232,0.0,1.0,0.0,0.0,0.0,2012,70.37818987341772,291.484076433121,0.6232939035486806,0.11040787623066103,0.650492264416315,0.603
42,John Huh,-35.937,1782.0,-0.26,14.226,0.391,0.031,-0.025,1.0,4.0,1.0,1.0,0.0,2012,70.38447474747475,288.25757575757575,0.6869125090383225,0.1111111111111111,0.6644219977553311,0.397
43,Charles Howell III,-29.318,1764.0,-0.25,4.174,0.098,0.257,0.27,0.0,1.0,0.0,1.0,0.0,2012,70.38451020408164,294.6051282051282,0.545985401459854,0.11054421768707483,0.6660997732426304,0.625
44,Scott Piercy,-8.103,1710.0,-0.3,19.034,0.476,0.202,-0.042,1.0,3.0,1.0,0.0,1.0,2012,70.40944210526315,304.5263157894737,0.5605718585402558,0.1111111111111111,0.6573099415204678,0.6359999999999999
45,Greg Chalmers,-42.713,1566.0,-0.29,37.934,-0.335,0.012,0.459,0.0,1.0,0.0,0.0,0.0,2012,70.417091954023,282.0057803468208,0.6199505358615004,0.11047254150702426,0.5983397190293742,0.136
46,Bob Estes,-39.383,1404.0,-0.26,4.782,-0.454,0.396,0.34700000000000003,0.0,2.0,0.0,0.0,0.0,2012,70.41816666666666,285.1730769230769,0.6071757129714811,0.1111111111111111,0.6239316239316239,0.28900000000000003
47,Roberto Castro,-0.968,1548.0,-0.24,3.583,0.244,0.03,0.269,0.0,1.0,0.0,0.0,0.0,2012,70.4336888888889,290.58720930232556,0.6536219816819318,0.1111111111111111,0.6841085271317829,0.543
48,Geoff Ogilvy,-39.642,1296.0,-0.26,13.063,0.158,0.168,0.127,0.0,1.0,0.0,0.0,0.0,2012,70.43552777777778,290.0633802816901,0.6201395812562313,0.1095679012345679,0.6365740740740741,0.453
49,Greg Owen,-28.026,1620.0,-0.25,-32.064,0.336,0.3670000000000001,0.012,0.0,2.0,0.0,0.0,0.0,2012,70.44415555555555,295.93333333333334,0.601593625498008,0.1111111111111111,0.6858024691358025,0.7150000000000001
50,Bud Cauley,-6.646,1782.0,-0.26,5.957000000000002,0.065,0.201,0.388,0.0,6.0,0.0,0.0,1.0,2012,70.45812121212121,291.63775510204084,0.6033357505438723,0.10998877665544332,0.6655443322109988,0.654
