,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,1ST,2ND,3RD,YEAR
69,Charlie Wi,86,"6,123",- 43.044,"48,841",171,738,"1,197",924,"1,548",-0.27,20.398,73,-0.19699999999999998,-0.22899999999999998,0.43,20.680999999999997,73,24.0,0.0,3.0,"6,583",,1.0,1.0,2012
70,John Mallinger,70,"4,960",- 11.091,"39,395",140,661,973,838,"1,260",-0.24,-5.437,63,-0.086,0.184,0.20600000000000002,13.763,63,22.0,0.0,2.0,"7,083",,1.0,,2012
71,John Merrick,79,"5,577",8.378,"46,346",158,711,"1,103",983,"1,422",-0.25,-13.925,72,0.20199999999999999,0.23,-0.047,13.784,72,24.0,0.0,2.0,"6,812",,1.0,,2012
72,Ben Crane,72,"5,093",- 2.036,"41,300",144,650,"1,010",840,"1,296",-0.31,26.761999999999997,62,0.102,-0.138,0.195,36.661,62,22.0,0.0,4.0,"6,635",,1.0,,2012
73,Michael Thompson,80,"5,698",- 40.556,"45,349",160,662,"1,114",911,"1,440",-0.26,23.096999999999998,65,-0.375,0.317,-0.192,6.88,65,23.0,0.0,2.0,"6,955",,1.0,,2012
74,Daniel Summerhays,81,"5,736",- 7.553,"44,558",154,667,"1,077",938,"1,386",-0.24,-3.6,68,0.2,-0.066,0.045,8.533999999999999,68,22.0,0.0,4.0,"7,053",,,,2012
75,William McGirt,96,"6,794",- 4.045,"52,226",183,776,"1,281","1,098","1,656",-0.24,22.289,79,-0.092,0.11,-0.047,19.983,79,28.0,0.0,3.0,"6,501",,1.0,,2012
76,David Toms,58,"4,112",- 9.062,"31,956",116,565,810,690,"1,044",-0.24,-6.185,44,0.131,0.012,0.18899999999999997,8.397,44,18.0,0.0,4.0,"7,003",,1.0,,2012
77,Jonathan Byrd,68,"4,842",- 30.804,"39,371",136,551,952,779,"1,224",-0.26,14.686,56,-0.22,0.406,0.057999999999999996,28.340999999999998,56,21.0,0.0,5.0,"6,890",,,1.0,2012
78,Brian Gay,87,"6,152",4.714,"48,328",174,752,"1,211",982,"1,566",-0.26,54.888000000000005,78,-0.364,-0.486,0.293,11.513,78,24.0,0.0,2.0,"7,135",,,,2012
79,Spencer Levin,79,"5,629",- 37.730,"44,821",158,632,"1,103",867,"1,422",-0.28,21.79,66,-0.207,-0.040999999999999995,0.18,17.262,66,26.0,0.0,3.0,"6,891",,,1.0,2012
80,Tim Herron,88,"6,240",- 11.246,"50,934",176,736,"1,228","1,067","1,584",-0.24,-13.187999999999999,76,0.152,0.193,0.163,25.398000000000003,76,23.0,0.0,,"7,287",,,,2012
81,Matt Every,80,"5,670",- 6.877,"43,400",152,646,"1,061",906,"1,368",-0.27,6.172999999999999,64,-0.051,0.377,0.191,39.221,64,22.0,0.0,5.0,"6,647",,2.0,1.0,2012
82,David Hearn,95,"6,720",6.204,"54,465",190,826,"1,327","1,134","1,710",-0.24,23.003,88,-0.022000000000000002,-0.21,0.231,22.951,88,25.0,0.0,2.0,"6,659",,,,2012
83,Brian Davis,91,"6,459",- 15.546,"47,940",173,815,"1,212",994,"1,566",-0.27,29.211,79,-0.012,0.146,0.09,46.908,79,25.0,0.0,4.0,"6,898",,,,2012
84,Richard Lee,67,"4,721",23.185,"37,124",130,624,908,799,"1,170",-0.27,10.775,57,0.106,-0.187,0.071,10.206,57,20.0,0.0,,"7,364",,,,2012
85,Tom Gillis,75,"5,322",- 11.122,"43,355",150,690,"1,044",862,"1,350",-0.28,14.94,69,0.207,-0.27399999999999997,0.18899999999999997,23.374000000000002,69,22.0,0.0,2.0,"6,349",,1.0,,2012
86,Gary Christian,87,"6,154",7.367,"47,923",170,817,"1,185","1,025","1,530",-0.25,-5.779,75,0.17,0.124,-0.067,11.173,75,24.0,0.0,1.0,"7,097",,,,2012
87,Brian Harman,101,"7,164",- 11.058,"58,632",202,922,"1,409","1,162","1,818",-0.28,11.582,88,0.337,-0.37,0.10099999999999999,17.538,88,27.0,0.0,1.0,"6,504",,,,2012
88,Kevin Streelman,89,"6,313",- 9.888,"50,945",174,747,"1,212","1,037","1,566",-0.25,-4.144,77,0.11,0.184,0.027999999999999997,20.641,77,23.0,0.0,3.0,"7,164",,,,2012
89,Marc Leishman,84,"5,996",- 46.196,"48,620",168,647,"1,172",949,"1,512",-0.23,-25.169,76,-0.209,0.5589999999999999,0.193,16.087,76,23.0,1.0,2.0,"6,461",1.0,,1.0,2012
90,Ryo Ishikawa,52,"3,730",- 45.586,"26,678",92,357,670,515,864,-0.24,7.249,37,-0.19899999999999998,0.069,-0.10400000000000001,-1.403,37,,,,,,1.0,,2012
91,Dicky Pride,58,"4,113",- 2.485,"30,880",108,464,756,627,972,-0.26,6.391,49,-0.287,0.002,0.064,-4.433,49,17.0,0.0,3.0,"6,742",,1.0,,2012
92,Chris Stroud,86,"6,096",- .451,"49,013",171,749,"1,202",981,"1,548",-0.25,6.117000000000001,75,-0.23600000000000002,-0.049,0.325,9.106,75,24.0,0.0,2.0,"7,142",,,,2012
93,John Daly,46,"3,273",- 12.588,"28,216",92,357,640,514,828,-0.3,7.294,38,0.272,-0.267,-0.604,-15.444,38,12.0,0.0,1.0,"7,328",,,,2012
94,Jeff Maggert,83,"5,878",5.248,"47,360",166,777,"1,157",981,"1,494",-0.25,-9.933,78,0.287,0.084,-0.214,2.37,78,23.0,0.0,1.0,"7,189",,,,2012
95,K.J. Choi,70,"5,001",- 38.969,"39,527",140,628,980,801,"1,260",-0.24,-19.278,56,0.064,0.153,0.382,14.262,56,21.0,0.0,2.0,"7,024",,,,2012
96,Kevin Chappell,87,"6,194",- 26.600,"51,033",174,687,"1,211","1,004","1,566",-0.24,-18.857,72,0.228,-0.18600000000000003,0.138,-5.827999999999999,72,25.0,0.0,1.0,"7,179",,,,2012
97,Chris Kirk,89,"6,286",23.341,"51,938",178,745,"1,248","1,067","1,602",-0.27,-16.611,85,0.032,0.444,-0.037000000000000005,20.737,85,24.0,0.0,4.0,"6,474",,,,2012
98,Johnson Wagner,88,"6,254",- 14.895,"49,700",175,769,"1,234","1,044","1,584",-0.25,26.284000000000002,76,-0.027000000000000003,0.376,-0.31,29.258000000000003,76,26.0,1.0,4.0,"6,240",1.0,1.0,,2012
99,Russell Knox,68,"4,792",29.538,"37,729",132,618,922,824,"1,188",-0.25,0.011000000000000001,56,0.049,0.025,0.105,10.011000000000001,56,19.0,0.0,,"7,462",,,,2012
100,Heath Slocum,89,"6,307",4.100,"47,412",170,851,"1,187","1,038","1,530",-0.22,-41.536,75,0.248,0.42700000000000005,-0.158,-2.654,75,25.0,0.0,,"7,261",,,,2012
101,J.B. Holmes,86,"6,111",- 11.556,"50,785",164,624,"1,147",952,"1,476",-0.28,-4.454,78,0.585,-0.21899999999999997,0.18600000000000003,38.650999999999996,78,23.0,0.0,2.0,"6,473",,,,2012
