,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
21,Jason Dufner,98,"6,892",- 7.919,"55,058",188,862,"1,367","1,241","1,764",-0.25,-28.441,75,.265,.503,.093,36.117,75,27,1,5,"3,554",,1,,,2016
22,Gary Woodland,87,"6,109",2.716,"48,412",158,691,"1,214","1,079","1,566",-0.28,-11.506,74,.690,.575,.089,69.991,74,25,0,3,"3,434",,,1,,2016
23,Russell Knox,85,"5,984",- 9.215,"43,983",154,819,"1,189","1,076","1,530",-0.24,-1.387,61,.164,.352,.104,36.459,61,24,2,4,"2,724",,2,2,,2016
24,Jimmy Walker,78,"5,498",- 14.371,"46,925",156,534,"1,095",904,"1,404",-0.30,20.002,67,.092,.734,.254,71.931,67,24,1,5,"2,849",,1,,1,2016
25,Louis Oosthuizen,56,"3,970",- 31.707,"30,571",104,481,780,687,"1,008",-0.25,-.898,42,.387,.300,.170,35.110,42,17,0,3,"3,721",,,1,,2016
26,Daniel Berger,85,"5,988",- 8.442,"45,916",154,678,"1,186","1,035","1,530",-0.28,13.067,68,.343,.491,-.071,64.893,68,25,1,6,"3,539",,1,,,2016
27,Webb Simpson,70,"4,931",- 5.867,"40,075",140,608,978,846,"1,260",-0.26,-27.946,58,.146,.728,.276,38.703,58,20,0,2,"4,439",,,,1,2016
28,Bubba Watson,65,"4,589",- 15.629,"37,834",122,503,913,809,"1,170",-0.29,-16.215,47,.935,.501,-.023,50.181,47,18,1,3,"3,531",,1,1,,2016
29,Zach Johnson,86,"6,055",- 3.737,"48,185",172,788,"1,208",999,"1,548",-0.27,28.816,73,-.269,.163,.321,44.452,73,24,0,5,"4,118",,,,,2016
30,William McGirt,94,"6,618",- 1.037,"54,033",188,872,"1,315","1,150","1,692",-0.26,32.207,84,.405,.268,-.034,85.851,84,27,1,7,"3,523",,1,1,,2016
