,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money
319,Charley Hoffman,112,57.72,2017,298.3,66.13,29.0,56.78,70.351,1498,0,7,-0.012,0.78,0.586,0.349,-0.031,4161008
320,Xander Schauffele,96,57.68,2017,306.3,67.74,29.1,56.95,70.163,988,1,3,0.402,0.7240000000000001,0.5539999999999999,0.011,-0.086,4312674
321,Marc Leishman,94,57.64,2017,298.1,67.38,28.77,60.99,69.468,1324,1,5,0.35600000000000004,1.4240000000000002,0.319,0.41,0.337,5866391
322,Kevin Chappell,95,57.61,2017,304.7,65.05,29.35,56.56,70.779,1015,1,4,-0.303,0.459,0.442,0.294,0.106,3149615
323,Hideki Matsuyama,83,57.61,2017,302.9,69.14,28.96,61.25,69.624,2869,3,7,-0.345,1.058,0.508,0.758,0.34600000000000003,8380570
324,Bryce Molder,74,57.6,2017,277.0,61.79,28.66,59.14,71.817,109,0,0,0.383,-0.846,-1.098,-0.431,0.301,216892
325,Robert Streb,98,57.58,2017,294.3,65.19,29.13,58.91,70.7,577,0,2,0.003,0.078,-0.159,-0.07200000000000001,0.305,1588287
326,Tony Finau,106,57.53,2017,309.2,68.96,29.26,59.38,69.987,1024,0,6,-0.133,1.147,0.826,0.39,0.065,2838629
327,Jhonattan Vegas,95,57.28,2017,300.8,65.91,29.58,58.15,71.054,1023,1,3,-0.413,0.174,0.394,0.172,-0.06,2944738
328,Matt Jones,64,57.09,2017,302.6,63.1,28.7,63.17,70.719,248,0,0,0.17,0.278,0.073,-0.468,0.503,510622
329,Scott Stallings,81,57.04,2017,297.6,67.89,29.65,55.51,70.811,438,0,3,-0.32,0.02,0.049,0.375,-0.084,955337
330,Ryan Palmer,61,56.94,2017,303.1,65.9,30.08,57.83,71.116,336,0,3,-1.159,-0.127,0.5329999999999999,0.555,-0.058,772560
331,Byeong Hun An,77,56.76,2017,299.9,64.52,29.2,55.93,70.887,468,0,3,-0.375,0.617,0.524,0.369,0.071,1236090
332,Dominic Bozzelli,69,56.57,2017,294.4,61.97,28.6,57.75,71.49,394,0,3,-0.033,-0.449,0.051,-0.342,-0.125,868519
333,Jamie Lovemark,98,56.54,2017,304.5,65.94,28.87,60.11,70.391,787,0,4,-0.017,0.7090000000000001,0.319,0.183,0.258,1886972
334,Patrick Reed,107,56.52,2017,295.3,62.09,28.33,60.92,70.453,896,0,3,0.5770000000000001,0.893,0.199,-0.049,0.25,3055111
335,Luke Donald,50,56.5,2017,278.5,61.92,28.56,59.88,70.831,424,0,1,0.7040000000000001,0.047,-1.001,-0.078,0.422,958850
336,Dustin Johnson,77,56.44,2017,314.4,69.61,29.0,62.63,69.54899999999999,2466,3,7,0.019,1.972,1.071,0.67,0.121,8732193
337,Brad Fritsch,56,56.4,2017,288.3,64.21,29.54,56.42,71.855,74,0,0,-0.596,-0.7190000000000001,-0.4320000000000001,0.235,0.075,166440
338,Cameron Smith,86,56.26,2017,292.6,63.14,28.52,58.64,70.90899999999998,847,1,4,0.084,0.502,-0.13,0.149,0.399,2123216
339,Nicholas Lindheim,58,56.19,2017,287.1,65.67,29.25,56.65,72.205,93,0,0,0.336,-1.285,-0.733,-0.578,-0.311,175107
340,Grayson Murray,94,56.01,2017,308.2,63.95,28.68,53.77,71.064,638,1,2,-0.08199999999999999,0.064,0.353,-0.032,-0.17600000000000002,1468728
341,Tom Hoge,54,55.99,2017,285.1,66.06,28.72,60.14,71.32600000000002,187,0,2,0.019,-0.274,-0.35200000000000004,0.235,-0.17600000000000002,373092
342,Adam Scott,58,55.99,2017,306.1,66.87,29.29,59.28,69.99600000000001,642,0,4,-0.097,1.0659999999999998,0.524,0.536,0.043,1695144
343,Jimmy Walker,68,55.97,2017,295.7,63.75,28.86,57.92,71.155,439,0,1,0.135,0.355,-0.258,0.518,-0.123,1101162
344,Si Woo Kim,80,55.92,2017,288.4,58.84,29.13,55.13,72.253,839,1,2,-0.392,-1.222,-0.236,-0.447,0.11,2681177
345,Andres Gonzales,73,55.75,2017,299.2,67.71,29.06,61.85,71.112,226,0,1,0.023,0.02,-0.104,-0.08900000000000001,0.19,422078
346,Nick Watney,75,55.67,2017,300.9,66.43,29.45,58.99,70.685,386,0,1,-0.113,0.171,-0.063,0.585,-0.238,824162
347,Luke List,102,55.63,2017,311.5,69.1,29.52,56.33,70.428,741,0,3,-0.426,0.691,0.6,0.443,0.07400000000000001,1813219
348,Derek Fathauer,81,55.49,2017,286.5,62.81,28.64,53.78,71.568,408,0,2,0.094,-0.647,-0.456,-0.136,-0.149,898491
349,Phil Mickelson,85,55.05,2017,293.5,62.85,28.25,60.0,70.168,734,0,4,0.337,1.048,-0.058,0.5529999999999999,0.21600000000000005,2102599
350,Rory McIlroy,51,54.97,2017,316.7,65.94,28.65,63.12,69.529,803,0,6,-0.304,1.212,0.965,0.322,0.095,2430182
351,Smylie Kaufman,76,54.79,2017,304.8,65.26,29.24,55.18,71.432,316,0,1,-0.13699999999999998,-0.177,0.091,-0.059,-0.073,784758
352,Cody Gribble,79,54.77,2017,297.2,62.7,28.53,54.74,71.581,514,1,2,0.461,-0.524,-0.338,-0.586,-0.061,1305554
353,Charles Howell III,86,54.72,2017,296.9,67.01,29.11,62.63,70.37100000000002,1102,0,5,0.172,0.4920000000000001,0.016,0.223,0.081,2606383
354,Ernie Els,52,54.48,2017,283.6,56.6,28.52,56.0,72.179,50,0,0,0.458,-0.685,-0.565,-0.504,-0.067,155926
355,Sebastián Muñoz,51,54.45,2017,296.0,63.15,28.84,56.92,71.263,241,0,1,0.358,0.16899999999999998,0.031,-0.077,-0.14300000000000002,563900
356,Camilo Villegas,76,54.37,2017,288.7,61.88,28.31,62.35,70.881,464,0,2,0.4,0.218,-0.524,0.107,0.235,971420
357,Ricky Barnes,100,54.32,2017,284.9,63.53,28.62,60.1,71.221,324,0,0,0.26,-0.027000000000000003,-0.638,0.238,0.114,697624
358,Whee Kim,74,54.32,2017,289.4,62.09,28.12,62.07,70.964,505,0,2,0.443,-0.232,-0.665,-0.14800000000000002,0.163,1125368
359,Stewart Cink,93,54.15,2017,295.8,68.54,29.11,58.53,70.21300000000001,583,0,3,0.28600000000000003,1.043,-0.019,0.7929999999999999,-0.05,1463922
360,Brooks Koepka,88,54.14,2017,310.5,62.28,28.32,56.2,69.847,1736,1,6,0.581,0.954,0.546,0.058,0.019,5612397
361,Justin Thomas,86,54.09,2017,309.3,67.33,28.29,60.54,69.359,2689,4,9,0.332,1.724,0.452,0.738,0.289,9921560
362,Jason Day,71,53.73,2017,306.3,63.98,28.22,59.04,70.115,756,0,3,0.354,1.109,0.311,-0.004,0.273,2978181
363,Charl Schwartzel,63,53.59,2017,298.4,61.69,28.45,60.5,70.211,727,0,3,0.257,0.8029999999999999,-0.023,0.399,0.127,2156036
364,Seamus Power,86,53.27,2017,298.1,65.63,28.46,63.43,70.543,350,0,1,0.174,0.5379999999999999,-0.067,0.202,0.229,646180
365,Gonzalo Fernandez-Castaño,63,53.26,2017,292.1,62.2,28.41,64.3,71.484,118,0,0,0.489,-0.078,-0.375,-0.312,0.12,258162
366,Trey Mullinax,88,53.26,2017,308.8,66.24,29.0,55.91,71.027,330,0,1,-0.057,-0.184,0.4270000000000001,-0.195,-0.16899999999999998,758141
367,Seung-Yul Noh,91,53.09,2017,298.5,65.58,28.74,59.18,70.955,446,0,3,0.244,0.18600000000000005,-0.541,0.044,0.439,1080706
368,Patrick Rodgers,76,52.9,2017,306.3,65.84,29.85,53.63,71.432,639,0,3,-0.066,-0.716,-0.044,-0.529,-0.077,1346322
369,Martin Flores,88,52.79,2017,300.6,70.64,29.86,57.01,70.885,383,0,2,0.242,-0.015,-0.024,0.047,-0.28,830057
370,Patton Kizzire,84,52.54,2017,293.0,63.52,29.09,54.31,71.598,519,0,3,-0.103,-0.578,-0.7440000000000001,0.29,-0.021,1110395
371,Kevin Tway,96,52.48,2017,309.2,64.71,28.86,59.03,70.868,619,0,3,0.261,0.433,0.28800000000000003,-0.168,0.053,1472613
372,Brandon Hagy,85,52.46,2017,312.7,64.5,29.06,60.16,70.875,419,0,1,0.109,0.293,0.459,-0.393,0.118,861227
373,Aaron Baddeley,61,52.25,2017,292.6,62.57,28.49,59.9,71.483,325,0,2,0.044,-0.172,-0.782,0.256,0.31,755356
374,Carl Pettersson,63,51.94,2017,280.2,57.91,28.34,53.91,72.419,74,0,0,0.172,-1.283,-1.123,-0.385,0.052000000000000005,164621
375,Ryo Ishikawa,56,51.92,2017,288.8,63.29,28.86,57.84,71.99,148,0,1,-0.204,-1.132,-0.58,-0.328,-0.021,319748
376,Ollie Schniederjans,92,51.89,2017,300.7,66.03,29.15,58.65,70.704,882,0,5,-0.019,0.383,0.125,0.309,-0.032,1935669
377,Ryan Brehm,83,51.13,2017,310.5,67.5,29.55,57.14,71.178,188,0,0,-0.149,-0.16,0.13699999999999998,-0.06,-0.099,396258
378,Harris English,84,49.8,2017,301.2,63.73,28.71,59.79,70.848,397,0,2,0.374,0.017,-0.644,0.138,0.16899999999999998,864959
379,J.B. Holmes,83,49.75,2017,306.4,62.19,28.88,56.12,70.66,543,0,2,-0.032,0.521,0.5329999999999999,0.039,0.13699999999999998,1353584
380,Matt Every,76,48.41,2017,297.7,60.16,28.94,48.01,72.671,175,0,0,-0.272,-1.454,-0.7340000000000001,-0.141,-0.306,351412
381,Andrew Loupe,55,45.93,2017,311.3,59.83,29.63,50.27,72.803,105,0,1,-0.242,-1.416,-0.348,-0.424,-0.403,273070
382,Steven Bowditch,59,45.37,2017,287.3,53.54,29.2,51.96,74.4,9,0,0,-0.15,-2.889,-1.717,-1.26,0.238,24650
